Crime_ID,FIR_Number,Date_Time,Date,Time,Hour,Day_of_Week,Month,Year,Province,City,Area,Location,Police_Station,Latitude,Longitude,Crime_Type,Crime_Category,Weapon_Used,Victim_Gender,Victim_Age,Suspect_Gender,Suspect_Age,Suspect_Count,Arrest_Status
PK-000012,FIR-0093/2022,2022-01-02 15:15:03,2022-01-02,15:15:03,15,Sunday,January,2022,ICT,Islamabad,Industrial Area,"Block 10, Industrial Area",Industrial Area PS,33.678324,73.078979,Hurt / Assault,Violent,Not Used,Male,50,Male,24.0,1.0,Arrested
PK-000013,FIR-0036/2022,2022-01-02 22:49:19,2022-01-02,22:49:19,22,Sunday,January,2022,Sindh,Karachi,Gulshan-e-Iqbal,Main Gulshan-e-Iqbal Bazaar,Gulshan-e-Iqbal PS,24.925508,67.097972,Cattle Theft,Property,Not Used,Male,38,Unknown,,,Pending
PK-000014,FIR-0112/2022,2022-01-03 00:39:19,2022-01-03,00:39:19,0,Monday,January,2022,Sindh,Karachi,Saddar,Street near Saddar Mosque,Saddar PS,24.85737,67.021319,Robbery,Property,Not Used,Male,38,Male,35.0,5.0,Under Investigation
PK-000015,FIR-0046/2022,2022-01-03 02:36:05,2022-01-03,02:36:05,2,Monday,January,2022,Punjab,Sargodha,Old City,Old City Bus Stop,Old City PS,32.06603,72.645472,Drug Possession,Drug,Not Used,Male,33,Male,20.0,2.0,Arrested
PK-000016,FIR-0034/2022,2022-01-03 08:41:06,2022-01-03,08:41:06,8,Monday,January,2022,Sindh,Karachi,Gulshan-e-Iqbal,Gulshan-e-Iqbal Park area,Gulshan-e-Iqbal PS,24.934474,67.096437,Robbery,Property,Not Used,Male,72,Male,33.0,2.0,Released on Bail
PK-000017,FIR-0115/2022,2022-01-03 17:20:09,2022-01-03,17:20:09,17,Monday,January,2022,Punjab,Faisalabad,Saddar,Near Saddar Petrol Pump,Saddar PS,31.456659,73.115183,Domestic Violence,Violent,Not Used,Female,34,Unknown,,,Pending
PK-000018,FIR-0059/2022,2022-01-04 11:11:42,2022-01-04,11:11:42,11,Tuesday,January,2022,Sindh,Karachi,Korangi,"Sector B, Korangi",Korangi PS,24.850196,67.158234,Theft,Property,Not Used,Male,46,Male,22.0,1.0,Arrested
PK-000019,FIR-0071/2022,2022-01-04 13:16:20,2022-01-04,13:16:20,13,Tuesday,January,2022,Punjab,Multan,New Multan,"House #733, New Multan",New Multan PS,30.236008,71.475444,Robbery,Property,Firearm,Male,37,Unknown,,,Under Investigation
PK-000020,FIR-0031/2022,2022-01-04 17:03:48,2022-01-04,17:03:48,17,Tuesday,January,2022,Punjab,Lahore,Johar Town,Street near Johar Town Mosque,Johar Town PS,31.469889,74.269483,Robbery,Property,Not Used,Female,37,Male,24.0,3.0,Under Investigation
PK-000021,FIR-0019/2022,2022-01-04 17:52:12,2022-01-04,17:52:12,17,Tuesday,January,2022,Punjab,Faisalabad,Old City,Street near Old City Mosque,Old City PS,31.460864,73.110594,Cybercrime / Fraud,Cyber,Not Used,Male,6,Unknown,,,Under Investigation
PK-000022,FIR-0083/2022,2022-01-04 18:22:17,2022-01-04,18:22:17,18,Tuesday,January,2022,Punjab,Sargodha,Old City,Near Old City Chowk,Old City PS,32.075585,72.65617,Theft,Property,Not Used,Male,5,Male,20.0,2.0,Pending
PK-000023,FIR-0028/2022,2022-01-04 20:00:11,2022-01-04,20:00:11,20,Tuesday,January,2022,Sindh,Karachi,Lyari,Lyari Park area,Lyari PS,24.867503,67.02002,Theft,Property,Not Used,Male,45,Male,32.0,1.0,Under Investigation
PK-000024,FIR-0022/2022,2022-01-04 23:48:03,2022-01-04,23:48:03,23,Tuesday,January,2022,Punjab,Gujranwala,Industrial Area,Near Industrial Area Chowk,Industrial Area PS,32.185624,74.170891,Motor Vehicle Theft,Property,Not Used,Female,57,Unknown,,,Under Investigation
PK-000025,FIR-0030/2022,2022-01-05 00:25:49,2022-01-05,00:25:49,0,Wednesday,January,2022,KPK,Peshawar,Mall Road,"Sector B, Mall Road",Mall Road PS,34.004008,71.548395,Drug Possession,Drug,Not Used,Male,64,Male,16.0,2.0,Arrested
PK-000026,FIR-0014/2022,2022-01-05 00:44:33,2022-01-05,00:44:33,0,Wednesday,January,2022,KPK,Peshawar,City Center,Street near City Center Mosque,City Center PS,34.002883,71.53499,Theft,Property,Not Used,Male,13,Unknown,,,Under Investigation
PK-000027,FIR-0075/2022,2022-01-05 01:06:49,2022-01-05,01:06:49,1,Wednesday,January,2022,Punjab,Multan,Chungi No. 9,Chungi No. 9 Park area,New Multan PS,30.221367,71.474416,Theft,Property,Not Used,Male,46,Female,28.0,1.0,Pending
PK-000028,FIR-0022/2022,2022-01-05 04:15:40,2022-01-05,04:15:40,4,Wednesday,January,2022,Punjab,Multan,Suraj Miani,"House #213, Suraj Miani",Sadar PS,30.208302,71.430742,Theft,Property,Not Used,Male,48,Male,28.0,1.0,Arrested
PK-000029,FIR-0037/2022,2022-01-05 13:55:30,2022-01-05,13:55:30,13,Wednesday,January,2022,KPK,Peshawar,City Center,"Plot 78, City Center",City Center PS,34.018028,71.54813,Burglary,Property,Not Used,Male,32,Male,15.0,3.0,Arrested
PK-000030,FIR-0019/2022,2022-01-05 16:31:42,2022-01-05,16:31:42,16,Wednesday,January,2022,Punjab,Multan,Shah Shams Colony,Main Shah Shams Colony Bazaar,Shah Shams PS,30.207251,71.472506,Theft,Property,Not Used,Male,34,Male,23.0,3.0,Released on Bail
PK-000031,FIR-0044/2022,2022-01-05 17:36:07,2022-01-05,17:36:07,17,Wednesday,January,2022,KPK,Swat,Cantt,Cantt Park area,Cantt PS,35.201699,72.407606,Theft,Property,Not Used,Male,45,Male,23.0,1.0,Released on Bail
PK-000032,FIR-0100/2022,2022-01-05 21:13:27,2022-01-05,21:13:27,21,Wednesday,January,2022,Sindh,Sukkur,Airport Road,Airport Road Bus Stop,Airport Road PS,27.701571,68.829717,Dacoity,Violent,Firearm,Male,29,Male,19.0,3.0,Arrested
PK-000033,FIR-0058/2022,2022-01-05 23:06:09,2022-01-05,23:06:09,23,Wednesday,January,2022,KPK,Mardan,Old City,Old City Bus Stop,Old City PS,34.194822,72.037418,Theft,Property,Not Used,Female,5,Male,38.0,1.0,Pending
PK-000034,FIR-0089/2022,2022-01-06 00:36:14,2022-01-06,00:36:14,0,Thursday,January,2022,Punjab,Faisalabad,University Town,University Town Park area,University Town PS,31.474354,73.122778,Cattle Theft,Property,Not Used,Male,16,Male,28.0,2.0,Pending
PK-000035,FIR-0091/2022,2022-01-06 02:16:00,2022-01-06,02:16:00,2,Thursday,January,2022,Punjab,Multan,Qasim Bela,Main Qasim Bela Bazaar,Sadar PS,30.167822,71.479271,Cattle Theft,Property,Not Used,Male,55,Unknown,,,Pending
PK-000036,FIR-0039/2022,2022-01-06 04:45:46,2022-01-06,04:45:46,4,Thursday,January,2022,Balochistan,Quetta,Industrial Area,Main Industrial Area Bazaar,Industrial Area PS,30.195255,66.973454,Motor Vehicle Theft,Property,Not Used,Male,68,Male,22.0,1.0,Arrested
PK-000037,FIR-0047/2022,2022-01-06 13:43:47,2022-01-06,13:43:47,13,Thursday,January,2022,Punjab,Multan,Qasim Bela,Near Qasim Bela Petrol Pump,Sadar PS,30.172652,71.498824,Theft,Property,Not Used,Male,34,Unknown,,,Pending
PK-000038,FIR-0076/2022,2022-01-06 15:46:58,2022-01-06,15:46:58,15,Thursday,January,2022,Balochistan,Turbat,Mall Road,Street near Mall Road Mosque,Mall Road PS,25.99589,63.015711,Theft,Property,Not Used,Female,49,Unknown,,,Pending
PK-000039,FIR-0035/2022,2022-01-06 17:19:44,2022-01-06,17:19:44,17,Thursday,January,2022,Sindh,Karachi,Korangi,Main Korangi Bazaar,Korangi PS,24.841136,67.149119,Motor Vehicle Theft,Property,Not Used,Male,17,Unknown,,,Under Investigation
PK-000040,FIR-0011/2022,2022-01-06 20:13:05,2022-01-06,20:13:05,20,Thursday,January,2022,Punjab,Sialkot,Mall Road,"Sector E, Mall Road",Mall Road PS,32.534241,74.512281,Theft,Property,Not Used,Male,30,Unknown,,,Pending
PK-000041,FIR-0081/2022,2022-01-07 13:55:06,2022-01-07,13:55:06,13,Friday,January,2022,Punjab,Gujranwala,Model Town,Model Town Market,Model Town PS,32.19495,74.219804,Hurt / Assault,Violent,Blunt Object,Female,17,Male,14.0,1.0,Released on Bail
PK-000042,FIR-0006/2022,2022-01-07 14:52:07,2022-01-07,14:52:07,14,Friday,January,2022,Sindh,Karachi,Malir,"House #239, Malir",Malir PS,24.899335,67.204024,Theft,Property,Not Used,Male,16,Male,33.0,3.0,Pending
PK-000043,FIR-0014/2022,2022-01-07 23:01:28,2022-01-07,23:01:28,23,Friday,January,2022,Punjab,Multan,Basti Malook,"Block 3, Basti Malook",Sadar PS,30.217326,71.420542,Burglary,Property,Not Used,Male,35,Male,22.0,2.0,Pending
PK-000044,FIR-0056/2022,2022-01-08 00:28:32,2022-01-08,00:28:32,0,Saturday,January,2022,Sindh,Karachi,Malir,Main Malir Bazaar,Malir PS,24.897812,67.207479,Theft,Property,Not Used,Male,34,Male,19.0,1.0,Pending
PK-000045,FIR-0081/2022,2022-01-08 00:30:59,2022-01-08,00:30:59,0,Saturday,January,2022,KPK,Mardan,Airport Road,Airport Road Market,Airport Road PS,34.192001,71.986562,Burglary,Property,Not Used,Male,45,Female,18.0,1.0,Released on Bail
PK-000046,FIR-0190/2022,2022-01-08 12:32:47,2022-01-08,12:32:47,12,Saturday,January,2022,Punjab,Lahore,Cantt,Near Cantt Chowk,Cantt PS,31.529127,74.414299,Kidnapping / Abduction,Violent,Not Used,Male,13,Unknown,,,Under Investigation
PK-000047,FIR-0068/2022,2022-01-08 17:08:22,2022-01-08,17:08:22,17,Saturday,January,2022,Punjab,Multan,Mumtazabad,"House #478, Mumtazabad",Mumtazabad PS,30.173341,71.458618,Theft,Property,Not Used,Male,28,Unknown,,,Pending
PK-000048,FIR-0005/2022,2022-01-08 19:16:00,2022-01-08,19:16:00,19,Saturday,January,2022,Sindh,Sukkur,Old City,Old City Market,Old City PS,27.682482,68.854418,Dacoity,Violent,Firearm,Female,46,Male,14.0,4.0,Under Investigation
PK-000049,FIR-0011/2022,2022-01-09 01:08:56,2022-01-09,01:08:56,1,Sunday,January,2022,Sindh,Karachi,North Nazimabad,"House #688, North Nazimabad",North Nazimabad PS,24.937096,67.042057,Motor Vehicle Theft,Property,Not Used,Male,35,Male,15.0,2.0,Pending
PK-000050,FIR-0056/2022,2022-01-09 09:17:31,2022-01-09,09:17:31,9,Sunday,January,2022,Balochistan,Quetta,Mall Road,Street near Mall Road Mosque,Mall Road PS,30.192776,66.999079,Kidnapping / Abduction,Violent,Not Used,Female,57,Male,36.0,4.0,Pending
PK-000051,FIR-0026/2022,2022-01-09 21:20:11,2022-01-09,21:20:11,21,Sunday,January,2022,KPK,Abbottabad,University Town,Near University Town Petrol Pump,University Town PS,34.155484,73.230055,Attempted Murder,Violent,Knife,Male,30,Male,22.0,1.0,Under Investigation
PK-000052,FIR-0071/2022,2022-01-10 02:44:50,2022-01-10,02:44:50,2,Monday,January,2022,Punjab,Bahawalpur,Industrial Area,Industrial Area Market,Industrial Area PS,29.401356,71.671941,Drug Possession,Drug,Not Used,Female,21,Male,21.0,3.0,Released on Bail
PK-000053,FIR-0052/2022,2022-01-10 07:32:18,2022-01-10,07:32:18,7,Monday,January,2022,Punjab,Faisalabad,Saddar,Near Saddar Chowk,Saddar PS,31.459837,73.127332,Cybercrime / Fraud,Cyber,Not Used,Male,30,Male,22.0,2.0,Pending
PK-000054,FIR-0175/2022,2022-01-10 15:46:12,2022-01-10,15:46:12,15,Monday,January,2022,Punjab,Rawalpindi,Cantt,Cantt Market,Cantt PS,33.618337,73.026197,Motor Vehicle Theft,Property,Not Used,Male,31,Male,28.0,1.0,Under Investigation
PK-000055,FIR-0052/2022,2022-01-10 19:28:33,2022-01-10,19:28:33,19,Monday,January,2022,Punjab,Multan,Shujabad Road,Shujabad Road Service Road,Mumtazabad PS,30.140188,71.492676,Theft,Property,Not Used,Male,36,Unknown,,,Under Investigation
PK-000056,FIR-0115/2022,2022-01-11 11:37:51,2022-01-11,11:37:51,11,Tuesday,January,2022,Punjab,Rawalpindi,Model Town,Model Town Bus Stop,Model Town PS,33.570093,73.00936,Theft,Property,Not Used,Male,42,Unknown,,,Pending
PK-000057,FIR-0082/2022,2022-01-11 12:05:29,2022-01-11,12:05:29,12,Tuesday,January,2022,KPK,Mardan,University Town,University Town Market,University Town PS,34.21208,72.035405,Theft,Property,Not Used,Male,29,Unknown,,,Pending
PK-000058,FIR-0131/2022,2022-01-11 15:47:03,2022-01-11,15:47:03,15,Tuesday,January,2022,Punjab,Rawalpindi,Old City,Old City Market,Old City PS,33.592478,72.992193,Cattle Theft,Property,Not Used,Female,32,Unknown,,,Pending
PK-000059,FIR-0007/2022,2022-01-11 19:30:26,2022-01-11,19:30:26,19,Tuesday,January,2022,Punjab,Lahore,Township,Township Bus Stop,Township PS,31.444519,74.304661,Domestic Violence,Violent,Blunt Object,Female,41,Male,33.0,3.0,Arrested
PK-000060,FIR-0049/2022,2022-01-11 20:45:24,2022-01-11,20:45:24,20,Tuesday,January,2022,Punjab,Multan,Shalimar Colony,Shalimar Colony Park area,Bosan Road PS,30.246619,71.499655,Domestic Violence,Violent,Not Used,Female,42,Male,26.0,1.0,Under Investigation
PK-000061,FIR-0040/2022,2022-01-11 21:41:44,2022-01-11,21:41:44,21,Tuesday,January,2022,Sindh,Karachi,Lyari,"Plot 296, Lyari",Lyari PS,24.88495,67.023172,Motor Vehicle Theft,Property,Not Used,Male,61,Male,22.0,1.0,Pending
PK-000062,FIR-0042/2022,2022-01-11 22:17:38,2022-01-11,22:17:38,22,Tuesday,January,2022,Punjab,Multan,Chungi No. 14,Chungi No. 14 Bus Stop,New Multan PS,30.219295,71.462286,Hurt / Assault,Violent,Knife,Male,20,Male,33.0,1.0,Pending
PK-000063,FIR-0047/2022,2022-01-11 22:26:11,2022-01-11,22:26:11,22,Tuesday,January,2022,Punjab,Multan,Chungi No. 9,Street near Chungi No. 9 Mosque,New Multan PS,30.208838,71.469933,Attempted Murder,Violent,Blunt Object,Male,38,Male,19.0,1.0,Arrested
PK-000064,FIR-0073/2022,2022-01-12 00:35:52,2022-01-12,00:35:52,0,Wednesday,January,2022,Punjab,Faisalabad,Industrial Area,Industrial Area Market,Industrial Area PS,31.453585,73.130081,Cybercrime / Fraud,Cyber,Not Used,Male,36,Unknown,,,Under Investigation
PK-000065,FIR-0019/2022,2022-01-12 03:53:35,2022-01-12,03:53:35,3,Wednesday,January,2022,Sindh,Karachi,Gulshan-e-Iqbal,"Sector C, Gulshan-e-Iqbal",Gulshan-e-Iqbal PS,24.918177,67.103261,Cybercrime / Fraud,Cyber,Not Used,Female,33,Male,25.0,1.0,Arrested
PK-000066,FIR-0097/2022,2022-01-12 14:11:58,2022-01-12,14:11:58,14,Wednesday,January,2022,Punjab,Rawalpindi,Industrial Area,Street near Industrial Area Mosque,Industrial Area PS,33.59802,73.047755,Burglary,Property,Not Used,Male,15,Unknown,,,Pending
PK-000067,FIR-0016/2022,2022-01-13 00:26:34,2022-01-13,00:26:34,0,Thursday,January,2022,Sindh,Karachi,Clifton,Near Clifton Chowk,Clifton PS,24.816405,67.026863,Cattle Theft,Property,Not Used,Male,40,Unknown,,,Pending
PK-000068,FIR-0106/2022,2022-01-13 07:29:57,2022-01-13,07:29:57,7,Thursday,January,2022,Punjab,Khanewal,Saddar,Near Saddar Petrol Pump,Saddar PS,30.293412,71.897805,Cybercrime / Fraud,Cyber,Not Used,Female,5,Unknown,,,Pending
PK-000069,FIR-0026/2022,2022-01-13 14:52:53,2022-01-13,14:52:53,14,Thursday,January,2022,Sindh,Sukkur,Saddar,Saddar Service Road,Saddar PS,27.727578,68.839604,Cybercrime / Fraud,Cyber,Not Used,Male,45,Unknown,,,Under Investigation
PK-000070,FIR-0048/2022,2022-01-13 17:34:13,2022-01-13,17:34:13,17,Thursday,January,2022,Punjab,Rawalpindi,Model Town,Model Town Park area,Model Town PS,33.567981,73.017262,Burglary,Property,Not Used,Female,59,Unknown,,,Under Investigation
PK-000071,FIR-0003/2022,2022-01-13 19:21:19,2022-01-13,19:21:19,19,Thursday,January,2022,Punjab,Sargodha,Model Town,"Sector D, Model Town",Model Town PS,32.061371,72.67603,Theft,Property,Not Used,Male,41,Male,37.0,1.0,Under Investigation
PK-000072,FIR-0068/2022,2022-01-13 19:30:19,2022-01-13,19:30:19,19,Thursday,January,2022,Balochistan,Turbat,Mall Road,"House #412, Mall Road",Mall Road PS,25.981702,63.074298,Drug Possession,Drug,Not Used,Male,26,Male,27.0,2.0,Arrested
PK-000073,FIR-0003/2022,2022-01-13 19:39:04,2022-01-13,19:39:04,19,Thursday,January,2022,Punjab,Multan,Bahawalpur Road,Near Bahawalpur Road Petrol Pump,Mumtazabad PS,30.184233,71.46965,Theft,Property,Not Used,Male,13,Male,22.0,2.0,Pending
PK-000074,FIR-0051/2022,2022-01-13 21:48:35,2022-01-13,21:48:35,21,Thursday,January,2022,Punjab,Lahore,Model Town,Model Town Service Road,Model Town PS,31.480634,74.329816,Burglary,Property,Not Used,Male,31,Female,14.0,1.0,Released on Bail
PK-000075,FIR-0040/2022,2022-01-14 01:25:39,2022-01-14,01:25:39,1,Friday,January,2022,Punjab,Sargodha,Model Town,Main Model Town Bazaar,Model Town PS,32.058155,72.685361,Robbery,Property,Knife,Female,7,Female,27.0,2.0,Pending
PK-000076,FIR-0036/2022,2022-01-14 11:39:47,2022-01-14,11:39:47,11,Friday,January,2022,Punjab,Multan,Qasim Bela,"House #566, Qasim Bela",Sadar PS,30.165951,71.485973,Robbery,Property,Firearm,Male,35,Unknown,,,Pending
PK-000077,FIR-0015/2022,2022-01-14 13:01:20,2022-01-14,13:01:20,13,Friday,January,2022,Punjab,Multan,Chowk Kumharanwala,"House #779, Chowk Kumharanwala",City PS,30.200424,71.462184,Hurt / Assault,Violent,Not Used,Male,41,Male,36.0,1.0,Arrested
PK-000078,FIR-0016/2022,2022-01-14 21:56:13,2022-01-14,21:56:13,21,Friday,January,2022,Punjab,Multan,Shah Rukn-e-Alam Colony,Shah Rukn-e-Alam Colony Market,Shah Rukn-e-Alam PS,30.233854,71.474801,Hurt / Assault,Violent,Firearm,Male,23,Male,43.0,1.0,Arrested
PK-000079,FIR-0034/2022,2022-01-15 02:06:21,2022-01-15,02:06:21,2,Saturday,January,2022,Punjab,Bahawalpur,Airport Road,Airport Road Market,Airport Road PS,29.345421,71.668225,Dacoity,Violent,Firearm,Female,28,Male,32.0,3.0,Released on Bail
PK-000080,FIR-0066/2022,2022-01-15 02:32:42,2022-01-15,02:32:42,2,Saturday,January,2022,Punjab,Rawalpindi,Civil Lines,Near Civil Lines Petrol Pump,Civil Lines PS,33.574522,73.018533,Burglary,Property,Not Used,Male,40,Male,27.0,1.0,Pending
PK-000081,FIR-0028/2022,2022-01-15 03:34:10,2022-01-15,03:34:10,3,Saturday,January,2022,Punjab,Khanewal,Mall Road,Mall Road Park area,Mall Road PS,30.292113,71.939773,Motor Vehicle Theft,Property,Not Used,Female,31,Unknown,,,Pending
PK-000082,FIR-0028/2022,2022-01-15 07:18:35,2022-01-15,07:18:35,7,Saturday,January,2022,Punjab,Lahore,Cantt,"House #900, Cantt",Cantt PS,31.537119,74.415916,Drug Possession,Drug,Not Used,Female,41,Male,14.0,3.0,Arrested
PK-000083,FIR-0120/2022,2022-01-15 09:21:25,2022-01-15,09:21:25,9,Saturday,January,2022,ICT,Islamabad,Old City,Main Old City Bazaar,Old City PS,33.696066,73.05188,Kidnapping / Abduction,Violent,Not Used,Female,36,Male,24.0,3.0,Arrested
PK-000084,FIR-0027/2022,2022-01-15 11:01:53,2022-01-15,11:01:53,11,Saturday,January,2022,Punjab,Multan,Chowk Kumharanwala,"House #615, Chowk Kumharanwala",City PS,30.200226,71.465787,Cybercrime / Fraud,Cyber,Not Used,Female,21,Male,33.0,3.0,Pending
PK-000085,FIR-0017/2022,2022-01-15 13:14:09,2022-01-15,13:14:09,13,Saturday,January,2022,Sindh,Karachi,Clifton,"House #614, Clifton",Clifton PS,24.813056,67.032303,Attempted Murder,Violent,Knife,Male,56,Male,28.0,2.0,Under Investigation
PK-000086,FIR-0122/2022,2022-01-15 13:38:50,2022-01-15,13:38:50,13,Saturday,January,2022,Punjab,Rawalpindi,Old City,Street near Old City Mosque,Old City PS,33.560678,73.052483,Burglary,Property,Not Used,Male,34,Male,37.0,1.0,Pending
PK-000087,FIR-0084/2022,2022-01-15 18:10:37,2022-01-15,18:10:37,18,Saturday,January,2022,Sindh,Hyderabad,Airport Road,"Sector E, Airport Road",Airport Road PS,25.37447,68.350098,Theft,Property,Not Used,Female,24,Male,19.0,1.0,Arrested
PK-000088,FIR-0091/2022,2022-01-15 18:37:05,2022-01-15,18:37:05,18,Saturday,January,2022,KPK,Peshawar,Industrial Area,Industrial Area Bus Stop,Industrial Area PS,34.013907,71.525329,Robbery,Property,Firearm,Male,31,Unknown,,,Pending
PK-000089,FIR-0022/2022,2022-01-15 18:46:14,2022-01-15,18:46:14,18,Saturday,January,2022,Punjab,Multan,Chungi No. 9,"Plot 232, Chungi No. 9",New Multan PS,30.215469,71.476922,Robbery,Property,Not Used,Female,23,Unknown,,,Pending
PK-000090,FIR-0010/2022,2022-01-15 19:00:00,2022-01-15,19:00:00,19,Saturday,January,2022,Punjab,Multan,Khanewal Road,"House #884, Khanewal Road",Khanewal Bypass PS,30.204653,71.546696,Robbery,Property,Not Used,Male,26,Male,27.0,2.0,Under Investigation
PK-000091,FIR-0120/2022,2022-01-15 19:30:31,2022-01-15,19:30:31,19,Saturday,January,2022,Sindh,Karachi,Saddar,Near Saddar Petrol Pump,Saddar PS,24.850406,67.020817,Theft,Property,Not Used,Female,18,Unknown,,,Pending
PK-000092,FIR-0017/2022,2022-01-15 19:43:16,2022-01-15,19:43:16,19,Saturday,January,2022,Punjab,Faisalabad,Saddar,Saddar Service Road,Saddar PS,31.45498,73.097842,Theft,Property,Not Used,Male,43,Unknown,,,Under Investigation
PK-000093,FIR-0078/2022,2022-01-15 19:49:54,2022-01-15,19:49:54,19,Saturday,January,2022,ICT,Islamabad,Airport Road,Street near Airport Road Mosque,Airport Road PS,33.69967,73.072394,Theft,Property,Not Used,Female,34,Unknown,,,Pending
PK-000094,FIR-0005/2022,2022-01-15 20:44:34,2022-01-15,20:44:34,20,Saturday,January,2022,Punjab,Lahore,Township,"Plot 8, Township",Township PS,31.441784,74.304121,Theft,Property,Not Used,Male,58,Female,28.0,2.0,Pending
PK-000095,FIR-0012/2022,2022-01-15 21:43:43,2022-01-15,21:43:43,21,Saturday,January,2022,Punjab,Faisalabad,Mall Road,Mall Road Service Road,Mall Road PS,31.456244,73.131253,Dacoity,Violent,Knife,Male,5,Male,14.0,4.0,Under Investigation
PK-000096,FIR-0012/2022,2022-01-15 22:27:10,2022-01-15,22:27:10,22,Saturday,January,2022,Punjab,Lahore,Gulberg,Street near Gulberg Mosque,Gulberg PS,31.516172,74.350649,Burglary,Property,Not Used,Female,45,Unknown,,,Pending
PK-000097,FIR-0014/2022,2022-01-16 09:55:11,2022-01-16,09:55:11,9,Sunday,January,2022,Punjab,Lahore,Walled City,Street near Walled City Mosque,Walled City PS,31.576811,74.316754,Theft,Property,Not Used,Male,20,Male,21.0,1.0,Under Investigation
PK-000098,FIR-0153/2022,2022-01-16 13:56:16,2022-01-16,13:56:16,13,Sunday,January,2022,Sindh,Karachi,Saddar,"Sector D, Saddar",Saddar PS,24.851142,67.017352,Theft,Property,Not Used,Male,10,Male,33.0,1.0,Pending
PK-000099,FIR-0034/2022,2022-01-17 02:27:39,2022-01-17,02:27:39,2,Monday,January,2022,Punjab,Lahore,Gulberg,"Block 12, Gulberg",Gulberg PS,31.51477,74.362114,Domestic Violence,Violent,Not Used,Male,45,Unknown,,,Pending
PK-000100,FIR-0025/2022,2022-01-17 04:41:42,2022-01-17,04:41:42,4,Monday,January,2022,Sindh,Karachi,DHA Karachi,Near DHA Karachi Chowk,DHA Karachi PS,24.803497,67.053691,Theft,Property,Not Used,Female,62,Male,26.0,1.0,Pending
PK-000101,FIR-0006/2022,2022-01-17 06:30:21,2022-01-17,06:30:21,6,Monday,January,2022,Punjab,Multan,Chowk Kumharanwala,Near Chowk Kumharanwala Chowk,City PS,30.19379,71.469564,Hurt / Assault,Violent,Knife,Male,30,Male,21.0,1.0,Arrested
